Date,Close/Last,Open,High,Low
02/28/2022,2131.24,2103.88,2131.99,2069.02
02/25/2022,2113.85,2106.53,2116.35,2046.15
02/24/2022,2034.22,2034.22,2039.74,1971.84
02/23/2022,2078.98,2078.98,2120.92,2077.08
02/22/2022,2098.83,2098.83,2116.44,2030.33
02/18/2022,2092.40,2142.19,2148.88,2073.39
02/17/2022,2167.57,2167.57,2210.69,2163.22
02/16/2022,2197.19,2197.19,2216.30,2188.00
02/15/2022,2206.22,2206.22,2209.55,2150.09
02/14/2022,2152.80,2152.80,2159.84,2117.44
02/11/2022,2206.14,2218.31,2222.29,2193.75
02/10/2022,2235.01,2235.01,2277.67,2221.85
02/09/2022,2261.59,2261.59,2265.48,2216.73
02/08/2022,2198.05,2198.05,2232.51,2193.09
02/07/2022,2219.26,2219.26,2220.34,2182.88
02/04/2022,2183.69,2197.19,2256.19,2181.38
02/03/2022,2235.80,2235.80,2285.30,2234.82
02/02/2022,2288.16,2288.16,2291.93,2277.77
02/01/2022,2252.68,2252.68,2261.42,2240.06
01/31/2022,2227.07,2227.07,2235.45,2207.48
01/28/2022,2179.29,2169.07,2197.06,2153.40
01/27/2022,2204.51,2204.51,2216.18,2156.06
01/26/2022,2198.84,2198.84,2219.40,2176.46
01/25/2022,2163.78,2163.78,2184.88,2151.35
01/24/2022,2143.66,2143.66,2227.67,2124.52
01/21/2022,2239.51,2236.99,2259.80,2222.12
01/20/2022,2297.89,2297.89,2299.82,2263.20
01/19/2022,2282.36,2282.36,2302.94,2248.43
01/18/2022,2274.80,2274.80,2299.97,2258.40
01/14/2022,2310.38,2303.12,2313.16,2292.32
01/13/2022,2353.03,2353.03,2365.16,2345.88
01/12/2022,2361.72,2361.72,2364.93,2340.70
01/11/2022,2335.93,2335.93,2355.36,2331.08
01/10/2022,2314.49,2314.49,2386.36,2310.82
01/07/2022,2363.88,2365.72,2388.73,2356.52
01/06/2022,2396.82,2396.82,2410.72,2387.13
01/05/2022,2431.56,2431.56,2450.49,2429.53
01/04/2022,2442.45,2442.45,2462.56,2436.55
01/03/2022,2447.09,2447.09,2466.13,2440.80
12/31/2021,2446.44,2451.15,2453.46,2445.24
12/30/2021,2451.68,2451.68,2459.97,2446.07
12/29/2021,2443.00,2443.00,2458.89,2436.70
12/28/2021,2452.88,2452.88,2458.96,2438.79
12/27/2021,2434.03,2434.03,2437.02,2403.41
12/23/2021,2408.45,2412.32,2413.17,2405.75
12/22/2021,2387.63,2387.63,2387.63,2360.05
12/21/2021,2353.19,2353.19,2358.27,2334.23
12/20/2021,2314.26,2314.26,2351.41,2271.94
12/17/2021,2389.42,2373.94,2400.08,2368.63
12/16/2021,2405.34,2405.34,2415.69,2392.88
12/15/2021,2370.53,2370.53,2373.17,2352.06
12/14/2021,2346.17,2346.17,2398.01,2345.04
12/13/2021,2385.90,2385.90,2408.56,2382.57
12/10/2021,2385.86,2391.06,2397.00,2375.38
12/09/2021,2396.94,2396.94,2404.95,2391.50
12/08/2021,2391.55,2391.55,2416.48,2386.55
12/07/2021,2386.19,2386.19,2387.68,2341.33
12/06/2021,2320.05,2320.05,2326.56,2295.43
12/03/2021,2286.27,2319.68,2324.00,2284.52
12/02/2021,2311.75,2311.75,2328.05,2291.34
12/01/2021,2345.60,2345.60,2347.46,2316.72
11/30/2021,2307.87,2307.87,2332.61,2295.51
11/29/2021,2335.08,2335.08,2347.17,2312.00
11/26/2021,2314.38,2327.95,2339.72,2297.52
11/24/2021,2393.34,2382.08,2400.63,2379.87
11/23/2021,2383.09,2383.09,2418.91,2380.66
11/22/2021,2440.00,2440.00,2459.96,2437.68
11/19/2021,2450.73,2448.70,2464.84,2443.30
11/18/2021,2451.97,2451.97,2477.24,2448.03
11/17/2021,2471.30,2471.30,2473.57,2453.38
11/16/2021,2462.51,2462.51,2468.45,2454.53
11/15/2021,2457.77,2457.77,2457.96,2446.41
11/12/2021,2458.33,2455.52,2458.68,2445.79
11/11/2021,2449.13,2449.13,2450.75,2422.33
11/10/2021,2427.30,2427.30,2435.78,2415.47
11/09/2021,2437.04,2437.04,2452.42,2432.94
11/08/2021,2443.86,2443.86,2449.71,2427.74
